"day","stat_type","bo_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
13,"kurt","bo",0.148864627225166,2.01552165976197,FALSE,0.706828791152096,FALSE
13,"max","bo",0.126172635092587,2.19751624634905,FALSE,0.559662832371789,FALSE
13,"mean","bo",0.215990447359456,1.60162700763066,FALSE,0.527566084460104,FALSE
13,"median","bo",0.222400141837659,1.56973318739045,FALSE,0.508598427869041,FALSE
13,"min","bo",0.610447639453191,0.50058877302154,FALSE,0.927880411968851,FALSE
13,"sd","bo",0.272308748948302,1.35038580757149,FALSE,0.762966567191472,FALSE
13,"skew","bo",0.523455008854848,0.659785719329422,FALSE,0.871856187426796,FALSE
14,"cv","bo",0.123703394652959,2.21977503895487,FALSE,0.725155524933171,FALSE
14,"iqr","bo",0.639966108090971,0.452080746173819,FALSE,0.953945771848484,FALSE
14,"kurt","bo",0.241279556441269,1.48115300831431,FALSE,0.706828791152096,FALSE
14,"max","bo",0.291486448554378,1.27721957256395,FALSE,0.609616457629501,FALSE
14,"mean","bo",0.519743261309949,0.666810449994513,FALSE,0.790009757191122,FALSE
14,"median","bo",0.645373491609163,0.443451473602071,FALSE,0.779054172043537,FALSE
14,"min","bo",0.123214624857331,2.22423668559164,FALSE,0.524879741554964,FALSE
14,"sd","bo",0.114803177359502,2.30409350697072,FALSE,0.762966567191472,FALSE
14,"skew","bo",0.0976723257646013,2.4878181644641,FALSE,0.463943547381856,FALSE
15,"cv","bo",0.134352602698178,2.1202326854776,FALSE,0.725155524933171,FALSE
15,"iqr","bo",0.452353185863349,0.810546197890436,FALSE,0.953945771848484,FALSE
15,"kurt","bo",0.821803557247911,0.197298546587433,FALSE,0.883949696338957,FALSE
15,"max","bo",0.255205515018202,1.41735780968195,FALSE,0.606113098168231,FALSE
15,"mean","bo",0.0450936801172125,3.3736990316738,TRUE,0.388258963148683,FALSE
15,"median","bo",0.108020895419716,2.36481563115301,FALSE,0.377974338225434,FALSE
15,"min","bo",0.00608556897030535,5.87469733601903,TRUE,0.115625810435802,FALSE
15,"sd","bo",0.140900577921197,2.06726024090995,FALSE,0.762966567191472,FALSE
15,"skew","bo",0.565714747570118,0.578526801962407,FALSE,0.871856187426796,FALSE
16,"cv","bo",0.286245601947304,1.29416551586122,FALSE,0.725155524933171,FALSE
16,"iqr","bo",0.854640415548849,0.157743177634758,FALSE,0.953945771848484,FALSE
16,"kurt","bo",0.35373667187432,1.06894440672449,FALSE,0.790705501836715,FALSE
16,"max","bo",0.588088142114571,0.53856890560011,FALSE,0.744911646678456,FALSE
16,"mean","bo",0.584286363501618,0.545244511283272,FALSE,0.822328956039315,FALSE
16,"median","bo",0.332077476255898,1.1358939860641,FALSE,0.5669353853166,FALSE
16,"min","bo",0.175416240978135,1.82510604999298,FALSE,0.555484763097428,FALSE
16,"sd","bo",0.28465699025675,1.30012100792189,FALSE,0.762966567191472,FALSE
16,"skew","bo",0.303328384894286,1.23224178033769,FALSE,0.768431908398857,FALSE
17,"cv","bo",0.111745181789665,2.32662129158073,FALSE,0.725155524933171,FALSE
17,"iqr","bo",0.863896410812036,0.14688243742849,FALSE,0.953945771848484,FALSE
17,"kurt","bo",0.188535329779919,1.74602124032038,FALSE,0.706828791152096,FALSE
17,"max","bo",0.142570146415156,2.05416849699678,FALSE,0.559662832371789,FALSE
17,"mean","bo",0.274473408891775,1.33915017234051,FALSE,0.57944386321597,FALSE
17,"median","bo",0.136833846894849,2.09984580892726,FALSE,0.390151691433425,FALSE
17,"min","bo",0.00332908691496683,6.68257288291078,TRUE,0.115625810435802,FALSE
17,"sd","bo",0.101386933365462,2.4364204729397,FALSE,0.762966567191472,FALSE
17,"skew","bo",0.642420348630271,0.447847249851724,FALSE,0.871856187426796,FALSE
18,"cv","bo",0.964527647535271,0.0361530400882803,FALSE,0.964527647535271,FALSE
18,"iqr","bo",0.903738099645932,0.101500780059511,FALSE,0.953945771848484,FALSE
18,"kurt","bo",0.841806248365701,0.173031774907435,FALSE,0.883949696338957,FALSE
18,"max","bo",0.724853375990738,0.3246793833268,FALSE,0.810130243754354,FALSE
18,"mean","bo",0.93853837802859,0.063543427779706,FALSE,0.988639322068886,FALSE
18,"median","bo",0.720088312685375,0.331395115568463,FALSE,0.782052851216462,FALSE
18,"min","bo",0.481184783128716,0.746571164363544,FALSE,0.822265393703604,FALSE
18,"sd","bo",0.95332540061378,0.047862506202103,FALSE,0.960452783769663,FALSE
18,"skew","bo",0.379334749055909,0.995911468931248,FALSE,0.83980422665192,FALSE
19,"cv","bo",0.0592051220350076,3.04785126044881,FALSE,0.725155524933171,FALSE
19,"iqr","bo",0.0116074398401651,5.02202295944713,TRUE,0.282488876138206,FALSE
19,"kurt","bo",0.260075025094503,1.39566558888724,FALSE,0.706828791152096,FALSE
19,"max","bo",0.19187745006093,1.72474440389423,FALSE,0.559662832371789,FALSE
