"day","stat_type","rhr_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
21,"cv","rhr_1",14,22,8.78100944821033,13.2689622580205,1.9347922985328,3.6208094637849,2.98857321121408e-05,-1.54602273672532,TRUE,0.000713524384286441,TRUE
22,"cv","rhr_1",14,22,8.93406119474384,14.7152512548605,2.19154987958664,7.27442136164653,0.001716474657607,-1.07613986260205,TRUE,0.00260904147956265,TRUE
23,"cv","rhr_1",14,22,9.76485969149782,14.0271623584793,2.74271050373434,6.93824540223456,0.0150149187658059,-0.807943536259503,TRUE,0.0178302160343945,TRUE
25,"cv","rhr_1",13,20,9.23635761138205,12.7713990092267,3.37957358434506,3.74888888359599,0.00896259588460487,-0.99048194337858,TRUE,0.0109864078585479,TRUE
26,"cv","rhr_1",14,20,9.44138391278989,14.6253065660846,2.71417407764797,4.31740404633764,0.000154894629849665,-1.43757572754521,TRUE,0.000883920232313575,TRUE
27,"cv","rhr_1",13,20,8.97138471391793,13.3068378854165,3.10848013962123,3.8964993134462,0.00135755425348723,-1.23006167753284,TRUE,0.00217222114799176,TRUE
29,"cv","rhr_1",11,20,8.58861190831757,12.5578868960729,2.20651270863105,3.44932636993185,0.00054939244796155,-1.37089540745314,TRUE,0.00149120807303849,TRUE
30,"cv","rhr_1",13,20,9.18026640846784,13.575836755747,2.95471347132664,4.04872236523538,0.00111439443968244,-1.24022059637388,TRUE,0.00211734943539664,TRUE
-4,"cv","rhr_50",15,16,7.73716576770863,10.4827541507026,2.43786318213983,2.7515259903991,0.00632166535539231,-1.0562271081217,TRUE,0.0100093034793712,TRUE
-3,"cv","rhr_50",14,17,8.04104333117056,10.6328866918798,1.9584341061717,2.8555992934755,0.00579863955791081,-1.05856068630308,TRUE,0.0095803610087222,TRUE
-2,"cv","rhr_50",14,16,8.626203412414,11.4757134608204,2.90711802895487,2.62729461850378,0.00939824095714019,-1.02842884550098,TRUE,0.0131755718478372,TRUE
0,"cv","rhr_50",15,17,8.22128013580772,12.2839945884878,1.31530319540389,2.20050553907484,7.51646690560586e-07,-2.24116769831861,TRUE,2.85625742413023e-05,TRUE
1,"cv","rhr_50",15,20,7.84713514421139,10.9241482067513,2.9492847119381,3.71170304844416,0.0100550416733494,-0.917897730228418,TRUE,0.0131755718478372,TRUE
2,"cv","rhr_50",15,18,8.27104183791953,11.7254373701777,2.54782374202435,3.15414217735579,0.00151360641102595,-1.20485811642045,TRUE,0.00438064334744107,TRUE
3,"cv","rhr_50",15,19,8.62611251656395,11.2021997684129,3.83118909186869,2.8759519686471,0.039877743770774,-0.760488491792989,TRUE,0.0459198261602852,TRUE
4,"cv","rhr_50",15,19,8.56955060690641,12.069355238149,2.07691127432606,3.07855006857907,0.000417684424671422,-1.3327860319323,TRUE,0.00226742973393057,TRUE
5,"cv","rhr_50",14,19,8.16752226598157,11.5937563764367,2.53851351339669,4.00358914175291,0.00533676842267146,-1.02212418009406,TRUE,0.00921805454825071,TRUE
6,"cv","rhr_50",13,18,8.28947346825098,11.2148497570783,2.36007715673097,2.31836168493031,0.00204137961815424,-1.25052826564105,TRUE,0.00484827659311631,TRUE
7,"cv","rhr_50",14,18,8.76622163398207,11.406819991369,2.28104195028087,2.65748801304832,0.00514698593500676,-1.06629305013285,TRUE,0.00921805454825071,TRUE
8,"cv","rhr_50",14,21,8.84942335914522,11.2732060978453,1.78358911619746,3.32176750787515,0.00874177248153592,-0.909138857922152,TRUE,0.0127764367037833,TRUE
9,"cv","rhr_50",14,21,8.6529427817396,11.5038016347681,1.82900756496813,3.42786996611081,0.00318859827298804,-1.03768629835777,TRUE,0.00712745496314973,TRUE
10,"cv","rhr_50",13,21,8.82964930871895,11.8758446211758,1.50182234691288,3.33433013291859,0.00103789956989436,-1.17802531197077,TRUE,0.00394401836559856,TRUE
11,"cv","rhr_50",13,19,8.19431488312298,11.5714335119456,2.32520679620174,3.22338774818824,0.00172920132135832,-1.20164600030763,TRUE,0.00438064334744107,TRUE
12,"cv","rhr_50",12,20,7.971093897681,11.0844811023694,2.43743959282305,3.19463536489412,0.00431564880778511,-1.09573316925749,TRUE,0.00863129761557021,TRUE
13,"cv","rhr_50",13,20,8.43581456044939,12.0534427078504,3.36782983273388,2.63819478626631,0.00356418007237755,-1.19587420871848,TRUE,0.00752438015279705,TRUE
14,"cv","rhr_50",11,21,7.13898104624309,11.2496231086587,1.54070072123984,3.03775054127485,1.868031399817e-05,-1.70672710720183,TRUE,0.00035492596596523,TRUE
15,"cv","rhr_50",11,21,7.88015916171478,12.0999037341881,1.84620817956785,3.71203671076394,0.000169772225092251,-1.439435680634,TRUE,0.00146045319689888,TRUE
16,"cv","rhr_50",11,21,7.13271518068043,11.6459299273294,2.33541914065369,3.53229991820388,0.000174426151668823,-1.50728300351203,TRUE,0.00146045319689888,TRUE
17,"cv","rhr_50",11,21,7.87321521435264,11.0984916959488,2.79109022370274,3.4041597732115,0.0083104349007385,-1.03614849124045,TRUE,0.0126318610491225,TRUE
18,"cv","rhr_50",10,21,8.35849236554377,11.6346815210424,1.64085669771291,3.15150468644589,0.000691983538321969,-1.30400339513658,TRUE,0.00292170827291498,TRUE
19,"cv","rhr_50",12,22,8.14525089947185,11.4306869974803,1.92982751059637,3.02532178968706,0.00054501648866766,-1.29480373485943,TRUE,0.00258882832117138,TRUE
20,"cv","rhr_50",12,21,8.16189632449583,10.8528423076719,1.61629578780582,2.84013398409081,0.0015583109795276,-1.16455310592278,TRUE,0.00438064334744107,TRUE
21,"cv","rhr_50",14,22,8.09202567411912,11.276978832293,1.61684212684197,3.04964774513233,0.000266110197429179,-1.30490709590928,TRUE,0.00168536458371814,TRUE
22,"cv","rhr_50",14,22,7.93847832850765,11.7622188603718,2.06615075126717,3.41856184084444,0.0001921648943288,-1.35377847532721,TRUE,0.00146045319689888,TRUE
24,"cv","rhr_50",14,22,9.03166147579778,11.2798140002223,2.53664570440642,3.33113528411216,0.0286136634001096,-0.759341275963871,TRUE,0.0350748132001344,TRUE
25,"cv","rhr_50",13,20,8.21359173368993,10.7415069713271,2.1580652493615,3.16326695944239,0.0104106770869699,-0.933595247620517,TRUE,0.0131868576434952,TRUE
26,"cv","rhr_50",14,20,8.09069856025772,11.0650454675144,2.50861181132397,3.23869700091711,0.00505032623663598,-1.02678848155396,TRUE,0.00921805454825071,TRUE
27,"cv","rhr_50",12,20,7.9207124377898,10.7869545242554,1.80972566568283,2.72743531127678,0.00124480073291052,-1.23837402899764,TRUE,0.00430022071369089,TRUE
28,"cv","rhr_50",13,19,8.54518325312559,10.6429053319285,2.36719544076769,3.04037924914436,0.0366061577853442,-0.769902950847998,TRUE,0.0434698123700962,TRUE
29,"cv","rhr_50",11,20,7.80367029520295,10.2188186946756,1.85903150128163,2.99353315912177,0.00985591562313517,-0.969273414051654,TRUE,0.0131755718478372,TRUE
30,"cv","rhr_50",13,20,8.07084502450385,10.741800640807,1.95482685442037,2.44522549868159,0.00162751034091866,-1.20658546553385,TRUE,0.00438064334744107,TRUE
24,"max","rhr_50",14,22,114.428571428571,96.5,13.4262331375459,11.5912528596844,0.000373388031785361,1.42944323454661,TRUE,0.0141887452078437,TRUE
-7,"mean","rhr_1",11,8,79.9418885384358,67.5744763986371,6.35626980120564,3.73018475008393,6.35011789091156e-05,2.37316626697364,TRUE,0.000198522437256989,TRUE
-6,"mean","rhr_1",12,14,80.4017356947474,68.8867307880351,7.20215118318251,7.83755992292785,0.000680900507142489,1.529915259355,TRUE,0.000958304417459799,TRUE
-5,"mean","rhr_1",14,15,79.6853782302075,68.143698167298,8.87946580318473,6.19788563920225,0.000516303390881866,1.50734093318033,TRUE,0.000817480368896287,TRUE
-4,"mean","rhr_1",15,17,78.5892246641497,70.3146646635986,6.27952086976095,11.700742332545,0.0179833090155291,0.881220907764974,TRUE,0.0184693443943271,TRUE
-3,"mean","rhr_1",14,18,78.1282892497099,67.062614855486,8.31721744421002,6.31236262527305,0.00038236174872971,1.49877264109598,TRUE,0.000631728106596913,TRUE
-2,"mean","rhr_1",14,16,78.8408247321543,64.1965176966924,9.77933904444809,6.00174454462641,8.35883946345215e-05,1.80494020853076,TRUE,0.000198522437256989,TRUE
-1,"mean","rhr_1",15,17,80.5318572377653,64.257521331083,7.80397909222777,7.2126092497713,1.2564385213771e-06,2.16583560722498,TRUE,2.85585960871288e-05,TRUE
0,"mean","rhr_1",15,17,79.4444089685459,64.3177273888592,8.70272011475602,7.05205087524632,1.17075192086752e-05,1.90981307239079,TRUE,8.37362745178335e-05,TRUE
1,"mean","rhr_1",15,20,78.5778330491282,64.4474308331985,8.82557537006445,5.49618310962085,1.76286893721755e-05,1.9220251516797,TRUE,8.37362745178335e-05,TRUE
2,"mean","rhr_1",15,19,78.48021543678,62.7627201064384,8.21497107682489,4.7710918978645,1.50308400458572e-06,2.33979051304667,TRUE,2.85585960871288e-05,TRUE
3,"mean","rhr_1",15,19,77.5855853108811,62.9157356712455,7.91655497044762,6.10355880071894,3.11148559427534e-06,2.07540562473586,TRUE,2.95591131456157e-05,TRUE
