"day","stat_type","rhr_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
-1,"median","rhr_1",15,17,79.6,62.0294117647059,7.31729848665866,7.00105034136685,1.30359201884374e-07,2.45367734337791,TRUE,4.95364967160621e-06,TRUE
-1,"median","rhr_50",15,17,84.1666666666667,76.0588235294118,8.89957195332343,7.34396510949036,0.00953206923739103,0.993738806474234,TRUE,0.0134155048526244,TRUE
-1,"min","rhr_1",15,17,62.1333333333333,49.6470588235294,8.33123783177049,6.76333106234077,8.5410429817267e-05,1.64555276113297,TRUE,0.000405699541632018,TRUE
-1,"min","rhr_50",15,17,71.5333333333333,57.6470588235294,6.98842580543682,7.37344200891439,6.36228536891059e-06,1.93307548522342,TRUE,0.000185194441059837,TRUE
-1,"sd","rhr_1",15,17,7.68501080137754,9.08555156550328,3.61181603390627,2.02798994891168,0.198034045727729,-0.478165180225488,FALSE,0.291723714666953,FALSE
-1,"sd","rhr_50",15,17,7.47249581356915,8.38756560367773,3.97662900839582,1.94427015160505,0.427649259618463,-0.292354828935265,FALSE,0.477960937220635,FALSE
-1,"skew","rhr_1",15,17,0.0269953739506001,1.09633673433063,1.36976846857694,0.528099264355289,0.0109471647965827,-1.03013029373842,TRUE,0.207996131135071,FALSE
-1,"skew","rhr_50",15,17,0.41564840805467,0.335751636142375,0.531178447137724,0.341028718152704,0.62255127155162,0.179001512062552,FALSE,0.898980656938611,FALSE
0,"cv","rhr_1",15,17,8.72974218073394,13.6582784910063,2.40041315888889,3.56706855420413,7.51078299248886e-05,-1.62110795659015,TRUE,0.000713524384286441,TRUE
0,"cv","rhr_50",15,17,8.22128013580772,12.2839945884878,1.31530319540389,2.20050553907484,7.51646690560586e-07,-2.24116769831861,TRUE,2.85625742413023e-05,TRUE
0,"iqr","rhr_1",15,17,9.06666666666667,12.2647058823529,3.36932945144593,4.9564277933395,0.039803204110522,-0.754639163047826,TRUE,0.21158193337019,FALSE
0,"iqr","rhr_50",15,17,8.93333333333333,10.8676470588235,2.36693492778761,2.79804290847139,0.0425785332670918,-0.74641586978703,TRUE,0.156382118395144,FALSE
0,"kurt","rhr_1",15,17,8.75369161431584,6.38152978913903,17.2497197560437,5.66212173878019,0.617452875168104,0.184781081204302,FALSE,0.903081492114113,FALSE
0,"kurt","rhr_50",15,17,4.08276662328232,5.76896017783573,2.29795239806839,3.54251645192708,0.117666879612578,-0.564737534217436,FALSE,0.866156681855489,FALSE
0,"max","rhr_1",15,17,113.2,107.764705882353,16.4499240119825,13.2878206065023,0.317058593034026,0.363499296408215,FALSE,0.49241206874674,FALSE
0,"max","rhr_50",15,17,109.333333333333,109.235294117647,12.8544970822703,15.4698473318449,0.98451529940131,0.0068932881085279,FALSE,0.98451529940131,FALSE
0,"mean","rhr_1",15,17,79.4444089685459,64.3177273888592,8.70272011475602,7.05205087524632,1.17075192086752e-05,1.90981307239079,TRUE,8.37362745178335e-05,TRUE
0,"mean","rhr_50",15,17,85.4014484281063,75.558361522987,8.03957173965696,7.47669090457549,0.00127139209626225,1.26791054308591,TRUE,0.0025427841925245,TRUE
0,"median","rhr_1",15,17,78.4666666666667,63,8.7982682278687,7.64035339496806,1.3070643581103e-05,1.8770964436387,TRUE,7.09549222974164e-05,TRUE
0,"median","rhr_50",15,17,85.1,74.6764705882353,7.9959811334016,7.63818772777325,0.000765678785005875,1.33308025142064,TRUE,0.00242464948585194,TRUE
0,"min","rhr_1",15,17,62.4,47.3529411764706,8.95065839557547,7.25380224839522,1.87604755390666e-05,1.84705108603054,TRUE,0.000142579614096906,TRUE
0,"min","rhr_50",15,17,68.9333333333333,55.5294117647059,7.3140438948121,6.78341402852229,9.74707584525457e-06,1.90026266142877,TRUE,0.000185194441059837,TRUE
0,"sd","rhr_1",15,17,6.8415644736574,8.72307819494585,1.76697107049613,2.42997507209832,0.0173126009028966,-0.885628315778434,TRUE,0.0792268823270182,FALSE
0,"sd","rhr_50",15,17,7.03523035394068,9.27025678342943,1.38032958223039,1.76021915774232,0.00036883334552125,-1.41303475343528,TRUE,0.0140156671298075,TRUE
0,"skew","rhr_1",15,17,1.05881525228145,1.17138403922969,1.60615553888478,0.753900470041853,0.806466396404348,-0.0897239983014908,FALSE,0.99291271242338,FALSE
0,"skew","rhr_50",15,17,0.358217193403663,0.718663944010915,0.662503657350054,1.03331661191985,0.245009865685685,-0.415287923905919,FALSE,0.851654425278102,FALSE
1,"cv","rhr_1",15,20,8.96041454836465,12.7768503934983,2.38693473579237,3.80702512103196,0.000969563972283287,-1.20114420351583,TRUE,0.00193912794456657,TRUE
1,"cv","rhr_50",15,20,7.84713514421139,10.9241482067513,2.9492847119381,3.71170304844416,0.0100550416733494,-0.917897730228418,TRUE,0.0131755718478372,TRUE
1,"iqr","rhr_1",15,20,9.78333333333333,11.425,4.0254399345496,4.14625703115726,0.247551368462929,-0.401749422716939,FALSE,0.454976196479859,FALSE
1,"iqr","rhr_50",15,20,8.66666666666667,10.2625,3.4364987719369,3.59593611997591,0.192332275343335,-0.453732848287635,FALSE,0.384664550686669,FALSE
1,"kurt","rhr_1",15,20,4.99647885875869,4.49994134966031,3.97513515680905,1.99241113329133,0.662149303242705,0.157924070643289,FALSE,0.903081492114113,FALSE
1,"kurt","rhr_50",15,20,3.5717288926537,3.35389781414678,1.71886839431733,0.985421775609851,0.664742405186707,0.155483308539425,FALSE,0.914827796639308,FALSE
1,"max","rhr_1",15,20,108.866666666667,102,11.1346734294703,11.2997438256943,0.0827096490131189,0.612138101872103,FALSE,0.274823655476164,FALSE
1,"max","rhr_50",15,20,105.466666666667,97.6,10.702914600817,11.5503474543318,0.045784878568111,0.706500358015563,TRUE,0.158165944144383,FALSE
1,"mean","rhr_1",15,20,78.5778330491282,64.4474308331985,8.82557537006445,5.49618310962085,1.76286893721755e-05,1.9220251516797,TRUE,8.37362745178335e-05,TRUE
1,"mean","rhr_50",15,20,86.1626963821808,74.6966725395696,9.03085896185596,6.64750707820104,0.00034698676536081,1.44604283029526,TRUE,0.00137151992893197,TRUE
1,"median","rhr_1",15,20,77.9333333333333,62.8,9.2076572688688,5.75463200158657,1.25216823834269e-05,1.9710547794204,TRUE,7.09549222974164e-05,TRUE
1,"median","rhr_50",15,20,86.1333333333333,75.175,9.00687568049041,6.99111277943196,0.000600984068684347,1.35921675074921,TRUE,0.00241050528565165,TRUE
1,"min","rhr_1",15,20,60.0666666666667,50.05,8.38763261906367,5.96899885813535,0.000613518456639697,1.37601617874853,TRUE,0.0012835159023245,TRUE
1,"min","rhr_50",15,20,70.6666666666667,57.8,11.0108171921114,8.66693656799703,0.000922462237183835,1.29855784067709,TRUE,0.00188643531626494,TRUE
1,"sd","rhr_1",15,20,7.01571931138779,8.11904697473415,2.00595758198447,2.11359717158844,0.125697130344108,-0.535471083342411,FALSE,0.217113225139823,FALSE
1,"sd","rhr_50",15,20,6.69617585072472,8.07671672372046,2.30992160320398,2.58534241277952,0.106291624257557,-0.563140617810876,FALSE,0.189142587643083,FALSE
1,"skew","rhr_1",15,20,0.767326506582226,0.911392915728102,0.803927195512905,0.450488358113096,0.539235632253147,-0.221086814282032,FALSE,0.975759715505695,FALSE
