"day","stat_type","n_cataract","n_no_surgery","mean_cataract","mean_no_surgery","sd_cataract","sd_no_surgery","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
13,"mean",6,4,6.58007568525676,6.98705586517327,4.04203055504276,2.49336145136144,0.848905669640198,-0.121190385494282,FALSE,0.948776924891986,FALSE
13,"median",6,4,0,0,0,0,NA,NA,NA,NA,NA
13,"total",6,4,5954.16666666667,7777.25,4168.22669329136,4347.92873101664,0.532173774996883,-0.428051744042778,FALSE,0.916356170036914,FALSE
14,"max",6,3,114.833333333333,123,36.8315987525205,22.5166604983954,0.694640108518727,-0.267539160902193,FALSE,0.980430648349726,FALSE
14,"mean",6,3,6.41993370260336,5.16535396297196,3.5414246648558,2.16331951665513,0.53438347813465,0.427539273081182,FALSE,0.937076805609199,FALSE
14,"median",6,3,0,0,0,0,NA,NA,NA,NA,NA
14,"total",6,3,7764.16666666667,6709.66666666667,4928.33665313833,3499.4092834839,0.724873551111495,0.246723652312107,FALSE,0.916356170036914,FALSE
15,"max",7,3,99.7142857142857,107,69.1970960029255,4,0.79057961032302,-0.148653408816167,FALSE,0.980430648349726,FALSE
15,"mean",7,3,4.16282180769855,4.51928670670429,3.67208926130133,0.773002293902597,0.813777225923778,-0.13433931012851,FALSE,0.937076805609199,FALSE
15,"median",7,3,0,0,0,0,NA,NA,NA,NA,NA
15,"total",7,3,4657.28571428571,5611.66666666667,4777.82704145883,1973.56133254919,0.666831933459308,-0.261094428155437,FALSE,0.916356170036914,FALSE
16,"max",6,3,135.166666666667,134.333333333333,37.7010167855811,24.8260615751539,0.969668806685569,0.0261074003529046,FALSE,0.980430648349726,FALSE
16,"mean",6,3,9.55249346130896,8.52550597573269,3.84808544567395,3.2728477901265,0.694025079729847,0.287505276459323,FALSE,0.937076805609199,FALSE
16,"median",6,3,1,0,2.44948974278318,0,0.363217467649123,0.577350269189626,FALSE,0.373900966300059,FALSE
16,"total",6,3,7417,8957.66666666667,3919.92117267682,2140.53365620196,0.471874160647795,-0.487840257992198,FALSE,0.916356170036914,FALSE
17,"max",6,3,118.5,109.666666666667,25.5558212546574,13.6503968196288,0.52161278081626,0.431167990402268,FALSE,0.980430648349726,FALSE
17,"mean",6,3,6.20855963928295,3.9179263782543,1.4900770389363,2.73762763850048,0.281317636179014,1.03932319138381,FALSE,0.795232831241145,FALSE
17,"median",6,3,0,0,0,0,NA,NA,NA,NA,NA
17,"total",6,3,7569.16666666667,5245.33333333333,2739.6265743102,4364.05732470752,0.46467543032236,0.637798088028762,FALSE,0.916356170036914,FALSE
18,"max",6,3,130.166666666667,118,26.2100489634542,24.6373699895098,0.528974585955068,0.478327184039632,FALSE,0.980430648349726,FALSE
18,"mean",6,3,6.98264862331383,7.28790073516601,3.46759863027049,2.94326824962375,0.895815490170789,-0.094912672335651,FALSE,0.972599675042571,FALSE
18,"median",6,3,0,0,0,0,NA,NA,NA,NA,NA
18,"total",6,3,8572.83333333333,6897.66666666667,4597.29770263648,1996.74368243231,0.471786713977151,0.472655567779679,FALSE,0.916356170036914,FALSE
19,"max",7,4,118.571428571429,129.75,47.2717573993082,20.5487225880345,0.601149297869076,-0.306701732594962,FALSE,0.980430648349726,FALSE
19,"mean",7,4,4.59548089250295,6.93994273300077,2.40361341791858,1.94158857452043,0.117683526134011,-1.07305477725043,FALSE,0.795232831241145,FALSE
19,"median",7,4,0,0,0,0,NA,NA,NA,NA,NA
19,"total",7,4,4971.28571428571,8324.5,3371.88012411897,3702.45508638075,0.187468199051613,-0.946960857464873,FALSE,0.916356170036914,FALSE
20,"max",6,5,103.166666666667,120.2,41.6913260363192,22.6207869005479,0.414915187999509,-0.507850930547863,FALSE,0.980430648349726,FALSE
20,"mean",6,5,7.08087793419806,10.7593557087302,5.70915319721368,3.83857287487049,0.236751103111032,-0.756169471620683,FALSE,0.795232831241145,FALSE
20,"median",6,5,0,0,0,0,NA,NA,NA,NA,NA
20,"total",6,5,6945.5,10037,7542.50374212701,8491.91324143152,0.54447721318031,-0.38493385202818,FALSE,0.916356170036914,FALSE
21,"max",7,5,119.571428571429,127.4,36.8910880966173,16.1802348561447,0.630572805020185,-0.274834588570518,FALSE,0.980430648349726,FALSE
21,"mean",7,5,6.56457226896788,7.43289761854378,4.00425185950437,3.77260412343523,0.71043436350564,-0.223211126712416,FALSE,0.937076805609199,FALSE
21,"median",7,5,0,0,0,0,NA,NA,NA,NA,NA
21,"total",7,5,7468.57142857143,8195.4,6587.15656554842,4784.76392312097,0.829249226695584,-0.126252700802568,FALSE,0.916356170036914,FALSE
22,"max",7,5,123,123.4,28.1661735657035,26.3115944024683,0.980430648349726,-0.0146763875570352,FALSE,0.980430648349726,FALSE
22,"mean",7,5,5.0737003630364,8.65651282685631,2.82510277351212,6.20968520471541,0.28049810107619,-0.742710170742258,FALSE,0.795232831241145,FALSE
22,"median",7,5,0,0,0,0,NA,NA,NA,NA,NA
22,"total",7,5,5690,8568.6,3291.58918052258,5080.18314630487,0.306570552642481,-0.672514842143486,FALSE,0.916356170036914,FALSE
23,"max",7,5,130.857142857143,97,24.3134295635736,40.7982842776507,0.148303354665721,1.00816156174918,FALSE,0.980430648349726,FALSE
23,"mean",7,5,9.03449207672575,4.09863972882982,4.9180023602173,2.69596985733115,0.0511847498374918,1.24460719697535,FALSE,0.795232831241145,FALSE
23,"median",7,5,0,0,0,0,NA,NA,NA,NA,NA
23,"total",7,5,8732,4703.6,4733.17870639454,2813.14180232707,0.0958894930681712,1.03468054233541,FALSE,0.916356170036914,FALSE
24,"max",7,5,108.714285714286,107.8,48.1757694479783,10.8489630840924,0.962691062847371,0.0261834110093548,FALSE,0.980430648349726,FALSE
24,"mean",7,5,6.15842461341846,6.30954368576764,4.77149531747063,4.37787573364149,0.955936560963596,-0.0330032340078161,FALSE,0.974667309728947,FALSE
24,"median",7,5,0,0,0,0,NA,NA,NA,NA,NA
24,"total",7,5,6575,6199.2,6796.21362720939,4570.25783736542,0.911124228087159,0.0648916653064904,FALSE,0.916356170036914,FALSE
25,"max",7,4,110.285714285714,106.75,34.2574288085289,26.8995043324841,0.854631458452002,0.114799707353145,FALSE,0.980430648349726,FALSE
25,"mean",7,4,6.08473953005913,8.98008904730166,2.66112868277815,5.31234509074682,0.367272694975159,-0.689148079019382,FALSE,0.861930700611932,FALSE
25,"median",7,4,0,0,0,0,NA,NA,NA,NA,NA
