"day","stat_type","p_value","significant","p_adjusted","significant_adjusted"
11,"mean",0.244880662599988,FALSE,0.404585442556502,FALSE
11,"median",0.29555089271953,FALSE,0.488301474927918,FALSE
11,"min",0.190127085145371,FALSE,0.543078645530735,FALSE
11,"sd",0.121876444535604,FALSE,0.762966567191472,FALSE
11,"skew",0.697918352817551,FALSE,0.914820670813338,FALSE
12,"cv",0.46805061333788,FALSE,0.806249346341758,FALSE
12,"iqr",0.440043989975757,FALSE,0.92501795876397,FALSE
12,"kurt",0.736706987507633,FALSE,0.881238955983203,FALSE
12,"max",0.721802184363655,FALSE,0.782272780448129,FALSE
12,"mean",0.802239849421982,FALSE,0.89662100817751,FALSE
12,"median",0.979503655415216,FALSE,0.979503655415216,FALSE
12,"min",0.437487381615896,FALSE,0.741658156659217,FALSE
12,"sd",0.470720477230798,FALSE,0.823720570962619,FALSE
12,"skew",0.798216141963247,FALSE,0.914820670813338,FALSE
13,"cv",0.268838378866465,FALSE,0.741578878899051,FALSE
13,"iqr",0.174969017828141,FALSE,0.92501795876397,FALSE
13,"kurt",0.148864627225166,FALSE,0.691008394953964,FALSE
13,"max",0.126172635092587,FALSE,0.559369057912493,FALSE
13,"mean",0.215990447359456,FALSE,0.380660777573497,FALSE
13,"median",0.222400141837659,FALSE,0.432308663688685,FALSE
13,"min",0.610447639453191,FALSE,0.892192703816203,FALSE
13,"sd",0.272308748948302,FALSE,0.762966567191472,FALSE
13,"skew",0.523455008854848,FALSE,0.904149560749282,FALSE
14,"cv",0.211050877117545,FALSE,0.741578878899051,FALSE
14,"iqr",0.698954257649913,FALSE,0.92501795876397,FALSE
14,"kurt",0.272766471692354,FALSE,0.691008394953964,FALSE
14,"max",0.220803575491773,FALSE,0.559369057912493,FALSE
14,"mean",0.584454678788554,FALSE,0.755571858622732,FALSE
14,"median",0.655359455382572,FALSE,0.778239353266804,FALSE
14,"min",0.101597042467052,FALSE,0.492378079985871,FALSE
14,"sd",0.197895626747178,FALSE,0.762966567191472,FALSE
14,"skew",0.10926414594363,FALSE,0.413092496952768,FALSE
15,"cv",0.280820757113502,FALSE,0.741578878899051,FALSE
15,"iqr",0.752026386758746,FALSE,0.92501795876397,FALSE
15,"kurt",0.631836502755171,FALSE,0.881238955983203,FALSE
