"day","stat_type","rhr_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
18,"kurt","rhr_1",0.938650098124673,0.0634239788057079,FALSE,0.96401901969561,FALSE
18,"kurt","rhr_50",0.158587428224245,1.94182263910302,FALSE,0.733067209948706,FALSE
18,"max","rhr_1",0.968663610200792,0.0318660524255577,FALSE,0.999813992147471,FALSE
18,"max","rhr_50",0.554887651145327,0.599013434783182,FALSE,0.780952990500831,FALSE
18,"mean","rhr_1",5.5343105022137e-05,13.0290855023625,TRUE,0.000125407288454992,TRUE
18,"mean","rhr_50",0.0102872834536289,5.23112161199055,TRUE,0.0138896107935825,TRUE
18,"median","rhr_1",7.08243121974318e-05,12.6068002531026,TRUE,0.00013456619317512,TRUE
18,"median","rhr_50",0.00559243088684551,6.03675487429028,TRUE,0.00923966842174475,TRUE
18,"min","rhr_1",1.49928641202528e-05,15.3640617209995,TRUE,8.13898337956579e-05,TRUE
18,"min","rhr_50",0.0025705970168476,7.1057215985751,TRUE,0.00394627542265861,TRUE
18,"sd","rhr_1",0.0632532701811524,2.98355202693786,FALSE,0.238624649509712,FALSE
18,"sd","rhr_50",0.0913963200442094,2.56381667528153,FALSE,0.215838024533903,FALSE
18,"skew","rhr_1",0.628149294256498,0.471035126170984,FALSE,0.769989457475707,FALSE
18,"skew","rhr_50",0.581295934674996,0.550991467769056,FALSE,0.820211137055755,FALSE
19,"cv","rhr_1",0.00175198334149829,7.50175849985291,TRUE,0.00616566419651921,TRUE
19,"cv","rhr_50",0.00517343029405839,6.04328413449059,TRUE,0.0185421284929004,TRUE
19,"iqr","rhr_1",0.580565749102997,0.551404373606375,FALSE,0.671066322128564,FALSE
19,"iqr","rhr_50",0.383643651929486,0.981965777633015,FALSE,0.502705474942085,FALSE
19,"kurt","rhr_1",0.00583742041457922,5.88559704188502,TRUE,0.0739406585846702,FALSE
19,"kurt","rhr_50",0.247671421383145,1.44681025564757,FALSE,0.733067209948706,FALSE
19,"max","rhr_1",0.0399548209136733,3.50112149360887,TRUE,0.491600540064776,FALSE
19,"max","rhr_50",0.00868863121308003,5.37307120889488,TRUE,0.11005599536568,FALSE
19,"mean","rhr_1",1.89148369439709e-05,14.5604093022016,TRUE,5.13402717050639e-05,TRUE
19,"mean","rhr_50",0.000223636260105468,10.5080361545629,TRUE,0.000969457212185379,TRUE
19,"median","rhr_1",1.14920968082336e-05,15.4419766381549,TRUE,3.49695152702203e-05,TRUE
19,"median","rhr_50",0.000517326797452635,9.24481278427836,TRUE,0.00165344626251353,TRUE
19,"min","rhr_1",3.88307987653469e-05,13.3269623683447,TRUE,0.000184446294135398,TRUE
19,"min","rhr_50",6.83966279953204e-05,12.3876545056949,TRUE,0.000506758598433302,TRUE
19,"sd","rhr_1",0.207302214280994,1.63881135621414,FALSE,0.375118292508464,FALSE
19,"sd","rhr_50",0.0756410000176695,2.76046535200463,FALSE,0.215838024533903,FALSE
19,"skew","rhr_1",0.00154016334876504,7.68078252494991,TRUE,0.0192079273398457,TRUE
19,"skew","rhr_50",0.385190293050473,0.97774026108309,FALSE,0.813179507550999,FALSE
20,"cv","rhr_1",0.0666703225480099,2.90504199775425,FALSE,0.0767718865704357,FALSE
20,"cv","rhr_50",0.0109050401261954,5.10107289810172,TRUE,0.0218100802523908,TRUE
20,"iqr","rhr_1",0.6530982574005,0.430715603586712,FALSE,0.671066322128564,FALSE
20,"iqr","rhr_50",0.566696786329878,0.57628216277426,FALSE,0.67295243376673,FALSE
20,"kurt","rhr_1",0.48801813572475,0.730762624222624,FALSE,0.741787566301621,FALSE
20,"kurt","rhr_50",0.177423012291146,1.8103504150753,FALSE,0.733067209948706,FALSE
20,"max","rhr_1",0.999813992147471,0.00018602604145487,FALSE,0.999813992147471,FALSE
20,"max","rhr_50",0.271140918622679,1.34978261173116,FALSE,0.606079700450695,FALSE
20,"mean","rhr_1",0.00123595414547155,7.9892376295874,TRUE,0.00156554191759729,TRUE
20,"mean","rhr_50",0.000229608287096537,10.4675082798225,TRUE,0.000969457212185379,TRUE
20,"median","rhr_1",0.0013397017330404,7.87584468904479,TRUE,0.00181816663769769,TRUE
20,"median","rhr_50",0.000305159193570576,10.033526369302,TRUE,0.00120350619717087,TRUE
20,"min","rhr_1",0.0865504136512206,2.60719435858664,FALSE,0.0888896140201725,FALSE
20,"min","rhr_50",0.000365753305065692,9.76047468547511,TRUE,0.00110406648871294,TRUE
20,"sd","rhr_1",0.606136392551524,0.507132545709073,FALSE,0.677446556381115,FALSE
20,"sd","rhr_50",0.478531706491098,0.751514650850381,FALSE,0.53482955431358,FALSE
20,"skew","rhr_1",0.224808634837149,1.55110856170769,FALSE,0.431494442440957,FALSE
20,"skew","rhr_50",0.174991001954555,1.82547323151526,FALSE,0.813179507550999,FALSE
21,"cv","rhr_1",0.000628198642143022,8.95999146794464,TRUE,0.00491490158628548,TRUE
21,"cv","rhr_50",0.00186789861640886,7.41319210270689,TRUE,0.0130317354362932,TRUE
21,"iqr","rhr_1",0.214842718154217,1.60011561883961,FALSE,0.453556849436681,FALSE
21,"iqr","rhr_50",0.131235069446294,2.14027728964921,FALSE,0.288131440904064,FALSE
21,"kurt","rhr_1",0.556695651754224,0.594622453649471,FALSE,0.804004201395338,FALSE
21,"kurt","rhr_50",0.562115078074833,0.584641605512244,FALSE,0.799156791055595,FALSE
21,"max","rhr_1",0.421818283237522,0.882570344220558,FALSE,0.641163790521033,FALSE
21,"max","rhr_50",0.144079820939173,2.03689879554882,FALSE,0.502614393295447,FALSE
21,"mean","rhr_1",1.07072374636832e-05,15.568964954473,TRUE,3.80921012414678e-05,TRUE
21,"mean","rhr_50",2.01940742602516e-05,14.4462931680414,TRUE,0.000324904770795903,TRUE
21,"median","rhr_1",4.68763977969838e-06,17.0863436875995,TRUE,2.22662889535673e-05,TRUE
21,"median","rhr_50",1.54714441820817e-05,14.9132220497382,TRUE,0.000293957439459552,TRUE
21,"min","rhr_1",0.00356448176007651,6.53593973912938,TRUE,0.00520962718780413,TRUE
21,"min","rhr_50",0.000106691659086993,11.6688104863944,TRUE,0.000579183292186534,TRUE
21,"sd","rhr_1",0.065506486443876,2.92528547235563,FALSE,0.238624649509712,FALSE
21,"sd","rhr_50",0.169622811697652,1.85739299644728,FALSE,0.247910263250414,FALSE
21,"skew","rhr_1",0.439920007442202,0.838697584274342,FALSE,0.726824360121899,FALSE
21,"skew","rhr_50",0.361450085553125,1.04465248259004,FALSE,0.813179507550999,FALSE
22,"cv","rhr_1",0.015433664124459,4.63806198130531,TRUE,0.0217214532122015,TRUE
22,"cv","rhr_50",0.00163686283311331,7.56318381021792,TRUE,0.0130317354362932,TRUE
22,"iqr","rhr_1",0.141558252752967,2.05379005875455,FALSE,0.453556849436681,FALSE
22,"iqr","rhr_50",0.138065186418937,2.0813583845063,FALSE,0.288131440904064,FALSE
22,"kurt","rhr_1",0.0417359203565663,3.44253083438345,TRUE,0.176218330394391,FALSE
22,"kurt","rhr_50",0.357099210325635,1.05671170899639,FALSE,0.733067209948706,FALSE
22,"max","rhr_1",0.734351001818938,0.311163917997918,FALSE,0.890440318193872,FALSE
22,"max","rhr_50",0.694806462209758,0.367456770908053,FALSE,0.825082673874087,FALSE
22,"mean","rhr_1",0.000199902636028732,10.6188637072147,TRUE,0.000292165391118916,TRUE
22,"mean","rhr_50",0.0014842224305093,7.69842317653126,TRUE,0.0029684448610186,TRUE
22,"median","rhr_1",0.000138407966029417,11.1868808707512,TRUE,0.000228674030831211,TRUE
22,"median","rhr_50",0.00190697022965453,7.35349344344119,TRUE,0.00392515452104078,TRUE
22,"min","rhr_1",1.35272567815294e-05,15.0323691836068,TRUE,8.13898337956579e-05,TRUE
