"day","stat_type","rhr_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
-3,"median","rhr_1",6.38964962109305e-05,12.4991434034298,TRUE,0.000127792992421861,TRUE
-2,"median","rhr_1",5.57185183868089e-06,17.0771989351214,TRUE,2.35255966522082e-05,TRUE
-1,"median","rhr_1",1.28433606388959e-07,24.4982805703189,TRUE,1.62682568092681e-06,TRUE
0,"median","rhr_1",1.28835056258706e-05,15.365307144283,TRUE,3.49695152702203e-05,TRUE
1,"median","rhr_1",1.33769674168404e-06,19.3289283008383,TRUE,8.47207936399892e-06,TRUE
2,"median","rhr_1",5.06536995143599e-08,26.3232943352037,TRUE,1.62682568092681e-06,TRUE
3,"median","rhr_1",6.33192290300962e-06,16.5265378451743,TRUE,2.40613070314365e-05,TRUE
4,"median","rhr_1",9.9008394162289e-06,15.7100640944528,TRUE,3.4202899801518e-05,TRUE
5,"median","rhr_1",9.88861082251669e-08,25.0921531456792,TRUE,1.62682568092681e-06,TRUE
6,"median","rhr_1",9.77398526723432e-07,20.360954164503,TRUE,7.42822880309808e-06,TRUE
7,"median","rhr_1",4.19977225677963e-05,13.5084203452886,TRUE,9.97445910985161e-05,TRUE
8,"median","rhr_1",0.0003187730000272,9.96749719521316,TRUE,0.000484534960041344,TRUE
9,"median","rhr_1",0.0018160493852562,7.45207258283542,TRUE,0.00230032922132451,TRUE
10,"median","rhr_1",0.00666149283537351,5.73446185731736,TRUE,0.00723247793554838,TRUE
11,"median","rhr_1",0.00290333226556634,6.86953138108514,TRUE,0.00334323109368245,TRUE
12,"median","rhr_1",0.00423810971361553,6.38351278878904,TRUE,0.00473671085639382,TRUE
13,"median","rhr_1",0.0021365091302937,7.32924478224305,TRUE,0.00253710459222376,TRUE
14,"median","rhr_1",0.00203862321090206,7.35907427370373,TRUE,0.00249895748433156,TRUE
15,"median","rhr_1",0.0288371091041707,3.89859171043736,TRUE,0.0299668587380989,TRUE
17,"median","rhr_1",0.000102286291788574,11.8988582665079,TRUE,0.000176676322180265,TRUE
18,"median","rhr_1",7.08243121974318e-05,12.6068002531026,TRUE,0.00013456619317512,TRUE
19,"median","rhr_1",1.14920968082336e-05,15.4419766381549,TRUE,3.49695152702203e-05,TRUE
20,"median","rhr_1",0.0013397017330404,7.87584468904479,TRUE,0.00181816663769769,TRUE
21,"median","rhr_1",4.68763977969838e-06,17.0863436875995,TRUE,2.22662889535673e-05,TRUE
22,"median","rhr_1",0.000138407966029417,11.1868808707512,TRUE,0.000228674030831211,TRUE
23,"median","rhr_1",3.47936723234875e-05,13.5122878445088,TRUE,8.81439698861683e-05,TRUE
24,"median","rhr_1",7.51043110178532e-05,12.1548695739336,TRUE,0.000135903038984687,TRUE
25,"median","rhr_1",7.17322034908092e-07,21.2461700856283,TRUE,6.81455933162688e-06,TRUE
26,"median","rhr_1",2.4417578258926e-06,18.3307311593533,TRUE,1.32552567691313e-05,TRUE
27,"median","rhr_1",5.93590272671101e-05,12.8063115371791,TRUE,0.000125313502008343,TRUE
28,"median","rhr_1",0.000346581757594593,9.89808674860783,TRUE,0.000506542568792097,TRUE
29,"median","rhr_1",0.000170599402942099,11.1478877290062,TRUE,0.000270115721324991,TRUE
30,"median","rhr_1",1.26077295847234e-05,15.54098882669,TRUE,3.49695152702203e-05,TRUE
-7,"median","rhr_50",0.0196799060047772,4.72104828359326,TRUE,0.022661709944895,TRUE
-6,"median","rhr_50",0.00672119680272065,6.05526245500681,TRUE,0.0102162191401354,TRUE
-3,"median","rhr_50",0.0139536051609746,4.79039668503524,TRUE,0.0185644157513338,TRUE
-2,"median","rhr_50",0.0024252704377337,7.11745862065034,TRUE,0.00460801383169403,TRUE
-1,"median","rhr_50",0.0145285487060369,4.72588353408066,TRUE,0.0185644157513338,TRUE
0,"median","rhr_50",0.00196257726052039,7.37766831422454,TRUE,0.00392515452104078,TRUE
1,"median","rhr_50",2.62738821227357e-05,13.8886121415649,TRUE,0.000332802506887985,TRUE
2,"median","rhr_50",0.000120750342213333,11.4715836831343,TRUE,0.000698216811137761,TRUE
3,"median","rhr_50",6.75472147703453e-05,12.4080964526027,TRUE,0.000513358832254624,TRUE
4,"median","rhr_50",6.46484588380235e-05,12.4799501043052,TRUE,0.000513358832254624,TRUE
5,"median","rhr_50",0.00189703742412787,7.42486420499643,TRUE,0.00392515452104078,TRUE
6,"median","rhr_50",0.00173412401961143,7.624590926891,TRUE,0.00392515452104078,TRUE
7,"median","rhr_50",0.000254478935335205,10.5074593712379,TRUE,0.00120350619717087,TRUE
8,"median","rhr_50",0.00119077185407033,8.04178736798887,TRUE,0.00323209503247661,TRUE
9,"median","rhr_50",0.00271462015066172,6.90214880876168,TRUE,0.0049121697964355,TRUE
10,"median","rhr_50",0.0411453222843823,3.47419281946254,TRUE,0.0459859484354862,TRUE
11,"median","rhr_50",0.00623901368171127,5.86525417263511,TRUE,0.00987843832937618,TRUE
12,"median","rhr_50",0.00511445088930175,6.13022929913247,TRUE,0.00883405153606667,TRUE
13,"median","rhr_50",0.0170747225466473,4.55261405762023,TRUE,0.0209303050571806,TRUE
14,"median","rhr_50",0.0146561176984214,4.74373093777185,TRUE,0.0185644157513338,TRUE
17,"median","rhr_50",0.0177574925718291,4.51796193044862,TRUE,0.0210870224290471,TRUE
