"day","stat_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
27,"median",13,20,0,0,0,0,NA,NA,NA,NA,NA
27,"total",13,20,5678,6199.35,4967.29581026404,3958.73446384866,0.753257572215588,-0.116077020772034,FALSE,0.880828479956422,FALSE
28,"max",13,20,105.230769230769,107.1,40.4931143244417,41.4613326517993,0.898847473872041,-0.0456131522994001,FALSE,0.979294208782837,FALSE
28,"mean",13,20,5.13796068110972,6.98468180281992,4.43599762768473,6.206012263972,0.327162904813487,-0.342359353610105,FALSE,0.920010123828623,FALSE
28,"median",13,20,0,0,0,0,NA,NA,NA,NA,NA
28,"total",13,20,5073.92307692308,6660.05,3602.90966816032,4936.08753521077,0.295100697196225,-0.367055185430043,FALSE,0.880828479956422,FALSE
29,"max",11,20,106.545454545455,117.75,53.5282423331154,27.5372952843766,0.527886645980505,-0.263233156639946,FALSE,0.979294208782837,FALSE
29,"mean",11,20,5.58275500209542,6.53172110493058,3.87402791819657,4.36098095620473,0.539004109820602,-0.230069299940011,FALSE,0.920010123828623,FALSE
29,"median",11,20,0,0,0,0,NA,NA,NA,NA,NA
29,"total",11,20,5726.09090909091,7358.6,4097.82628852287,5880.3211101006,0.373535087010602,-0.322117497005778,FALSE,0.880828479956422,FALSE
30,"max",13,20,118.846153846154,114.1,39.4542903324978,36.7737034191268,0.731750941365407,0.124448297117141,FALSE,0.979294208782837,FALSE
30,"mean",13,20,7.9832258836775,5.77487067586425,7.59226696046718,4.00355557460253,0.348497871111938,0.36386117636935,FALSE,0.920010123828623,FALSE
30,"median",13,20,0,0,0,0,NA,NA,NA,NA,NA
30,"total",13,20,6863,7125.25,4721.98302269996,5074.78015987418,0.880828479956422,-0.0535034098053411,FALSE,0.880828479956422,FALSE
