"day","stat_type","rhr_type","n_diabetes","n_non_diabetes","mean_diabetes","mean_non_diabetes","sd_diabetes","sd_non_diabetes","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
2,"mean","rhr_50",24,18,81.1737589625272,72.8500131844799,11.5557080548533,6.14026045930462,0.00474058707179895,0.899569584130126,TRUE,0.0105966063957859,TRUE
3,"mean","rhr_50",23,19,81.883692298656,73.5197243030415,8.44821760252432,6.56894798282292,0.000850430290597814,1.10529990630912,TRUE,0.00461662157753099,TRUE
4,"mean","rhr_50",23,19,82.7605664302423,73.0801636457124,7.96870451545577,5.95275470772646,5.80239887709165e-05,1.37636069183688,TRUE,0.00220491157329483,TRUE
5,"mean","rhr_50",22,19,83.2590819690422,75.2025073542931,9.52670838348617,8.19612448139034,0.00593147035792301,0.906623034539237,TRUE,0.0107331368381464,TRUE
6,"mean","rhr_50",21,18,82.6841700090618,74.9029103668378,8.41562876965062,7.59056357330276,0.00439271490392731,0.970992027985936,TRUE,0.0104326978968273,TRUE
7,"mean","rhr_50",21,18,84.6210103448302,74.7819586071583,8.93524490337568,7.41653737455567,0.000592153163563448,1.19826542292289,TRUE,0.00375030336923517,TRUE
8,"mean","rhr_50",21,21,83.9159014622037,75.2784644027814,7.41103341078377,6.75122069788652,0.000313634891336744,1.21846114113466,TRUE,0.00375030336923517,TRUE
9,"mean","rhr_50",21,21,83.7798910367133,75.9105815900212,8.04432196247934,8.19472607982001,0.0031692771101395,0.969142024050498,TRUE,0.00802883534568672,TRUE
10,"mean","rhr_50",20,21,83.7750498565195,77.5141887340774,7.36479362162592,9.52880746771986,0.0235722814792115,0.735203613268483,TRUE,0.0319909534360728,TRUE
11,"mean","rhr_50",20,19,84.3548396555838,76.1622204666511,8.78399183567734,9.07716233548333,0.00691188906335683,0.917243726450268,TRUE,0.0119387174730709,TRUE
12,"mean","rhr_50",19,20,83.1326887831438,75.1161048624038,8.88928513602367,8.01427640137919,0.00550565458004701,0.947240007543346,TRUE,0.0107331368381464,TRUE
13,"mean","rhr_50",20,20,83.9780744913194,76.9270156338945,9.03586152764845,8.95867016988965,0.0177617776179809,0.783681854171466,TRUE,0.0259595211339721,TRUE
14,"mean","rhr_50",19,21,82.588054581371,75.1605837114349,8.68791062297767,9.68264528659415,0.0146714141727017,0.807444910397343,TRUE,0.0240821052233012,TRUE
17,"mean","rhr_50",18,21,82.7740128455197,75.4623645991855,10.9312198026187,8.37274905094436,0.0272771790492805,0.750961078183369,TRUE,0.0355925058347508,TRUE
18,"mean","rhr_50",17,21,82.3742579551546,74.6442030612027,6.88076982746666,7.65043940078693,0.00236202486073438,1.06243524936201,TRUE,0.00679374854313994,TRUE
19,"mean","rhr_50",20,22,83.4155557808599,75.0690457584377,9.17337864125862,6.87816950302987,0.00216535299110717,1.02949194297593,TRUE,0.00679374854313994,TRUE
20,"mean","rhr_50",21,21,83.7484365381198,75.309948977813,9.02424512262189,7.8661158851274,0.00250295998957787,0.996866848176964,TRUE,0.00679374854313994,TRUE
21,"mean","rhr_50",20,22,84.6688625998314,74.679856685237,9.44367762798456,6.63587936092934,0.000399460697749022,1.22392810601006,TRUE,0.00375030336923517,TRUE
22,"mean","rhr_50",21,22,84.3359779869624,76.8955167130857,10.4128559004272,8.8278667920015,0.0158434902784876,0.770796804781452,TRUE,0.0240821052233012,TRUE
23,"mean","rhr_50",20,22,85.1801149101162,76.3969019491916,10.6724264273399,8.48053496182077,0.00577787338325767,0.911217384992266,TRUE,0.0107331368381464,TRUE
24,"mean","rhr_50",21,22,86.2039431635177,74.3078079004304,11.2302390884181,8.61390043618514,0.000402835443332447,1.18867024289396,TRUE,0.00375030336923517,TRUE
25,"mean","rhr_50",20,20,84.950732973282,75.2924240447675,11.4534195357047,6.09066802583478,0.00238064134277234,1.05294003201568,TRUE,0.00679374854313994,TRUE
26,"mean","rhr_50",22,20,85.0622280145326,76.1021956802632,10.7962959357981,6.30477413705504,0.00214286197439732,1.0135167702483,TRUE,0.00679374854313994,TRUE
27,"mean","rhr_50",19,20,83.1369182152738,76.1636242121588,9.25162387687853,7.78606800482709,0.01563725072857,0.815560937607887,TRUE,0.0240821052233012,TRUE
28,"mean","rhr_50",20,19,86.4885485053185,75.7587119394664,10.5433061750439,8.18201472896619,0.00107266114638368,1.13701976116193,TRUE,0.0050951404453225,TRUE
29,"mean","rhr_50",18,20,85.8912047182852,75.5039129995862,9.14392050742693,7.3824041161685,0.000554844805622777,1.2499795844801,TRUE,0.00375030336923517,TRUE
