"day","stat_type","rhr_type","n_diabetes","n_non_diabetes","mean_diabetes","mean_non_diabetes","sd_diabetes","sd_non_diabetes","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
5,"min","rhr_1",23,19,57.304347826087,48.5789473684211,10.5116160102167,4.48845171862295,0.00108780647858277,1.07959740385164,TRUE,0.00318173092150924,TRUE
5,"min","rhr_50",22,19,63.9090909090909,55.8421052631579,10.9061323549516,6.8901149635203,0.00685047994480422,0.884355551409045,TRUE,0.01446212432792,TRUE
5,"sd","rhr_1",23,19,7.30611901964434,8.98653665076925,1.9710978843016,3.68399995344278,0.0852891257748969,-0.568782721470765,FALSE,0.235144472378137,FALSE
5,"sd","rhr_50",22,19,8.21512616088125,8.7875991545938,3.59069729002005,3.5757523330467,0.612846643492786,-0.159764396321128,FALSE,0.913549626988304,FALSE
5,"skew","rhr_1",23,19,1.03137651630024,1.01888125710765,1.11831143780057,0.407408123141415,0.96067484759023,0.0148469198713321,FALSE,0.999948969295774,FALSE
5,"skew","rhr_50",22,19,0.110108798193213,0.287137752682208,0.707138195850929,0.771235890671722,0.451154458902739,-0.239266636350721,FALSE,0.863187183053324,FALSE
6,"cv","rhr_1",22,19,10.2160598996476,13.8262726255117,3.04383364826285,3.97947659607109,0.00282648306036026,-1.019062729548,TRUE,0.0105159836133205,TRUE
6,"cv","rhr_50",21,18,10.1704711589065,11.2148497570783,4.77154066648803,2.31836168493031,0.381560694451225,-0.278414843730632,FALSE,0.463062395482141,FALSE
6,"iqr","rhr_1",22,19,9.81818181818182,13.0526315789474,4.03126310864005,5.73947039959579,0.0479981983654591,-0.652177042643566,TRUE,0.227991442235931,FALSE
6,"iqr","rhr_50",21,18,10.75,9.98611111111111,4.70106370941726,3.13714958462931,0.549687950556648,0.191146401557794,FALSE,0.835525684846105,FALSE
6,"kurt","rhr_1",22,19,5.3363857149817,3.61690827363816,3.30789296708711,1.77468778899371,0.0423734331899468,0.647783986170257,TRUE,0.591463861106608,FALSE
6,"kurt","rhr_50",21,18,4.14895443456127,4.09150593443187,2.30781726781897,2.64703235001037,0.943299926893786,0.0231346446950812,FALSE,0.949787168536181,FALSE
